,circuit,loading-time,execution-time
0,4gt11_82_tof-sparse-backend.pkl,0.0014581680297851562,0.02694988250732422
1,aj-e11_165_tof-sparse-backend.pkl,0.0025315284729003906,0.10252189636230469
2,4_49_17_tof-sparse-backend.pkl,0.0025391578674316406,0.04423356056213379
3,toffoli_2_tof-sparse-backend.pkl,0.0011937618255615234,0.0030624866485595703
4,decod24-v0_38_tof-sparse-backend.pkl,0.0015091896057128906,0.016738176345825195
5,decod24-enable_125_tof-sparse-backend.pkl,0.0022749900817871094,0.06618618965148926
6,4_49_16_tof-sparse-backend.pkl,0.0023241043090820312,0.11934828758239746
7,4mod5-v0_18_tof-sparse-backend.pkl,0.0025055408477783203,0.034822702407836914
8,4gt4-v0_72_tof-sparse-backend.pkl,0.0025556087493896484,0.12943172454833984
9,rd32_270_tof-sparse-backend.pkl,0.002183675765991211,0.03620314598083496
10,4mod5-bdd_287_tof-sparse-backend.pkl,0.0026106834411621094,0.08845686912536621
11,mod5mils_65_tof-sparse-backend.pkl,0.0018601417541503906,0.01595592498779297
12,ex-1_166_tof-sparse-backend.pkl,0.0012102127075195312,0.005753993988037109
13,decod24-bdd_294_tof-sparse-backend.pkl,0.0019571781158447266,0.052381277084350586
14,4gt5_76_tof-sparse-backend.pkl,0.002311229705810547,0.0543365478515625
15,alu-bdd_288_tof-sparse-backend.pkl,0.0025920867919921875,0.09253454208374023
16,3_17_13_tof-sparse-backend.pkl,0.003330707550048828,0.01465606689453125
17,mod5d1_63_tof-sparse-backend.pkl,0.0013394355773925781,0.017745256423950195
18,3_17_14_tof-sparse-backend.pkl,0.001550436019897461,0.00918269157409668
19,miller_11_tof-sparse-backend.pkl,0.0011546611785888672,0.010428428649902344
20,alu-v0_26_tof-sparse-backend.pkl,0.0015385150909423828,0.06993365287780762
